because it	230
back and	230
don't really	230
could do	230
in your	230
this thing	220
that this	220
the repo	220
that's the	220
there and	220
we can't	220
it should	220
if the	220
could be	220
go into	220
you see	220
how we	220
or you	220
the things	220
this stuff	220
of me	220
you said	220
don't see	220
any way	220
or like	220
can we	220
and really	220
other than	220
like you're	220
over and	220
would have	220
and now	220
them and	220
and was	220
then it	220
have that	220
if there's	220
do want	220
for instance	220
it for	220
my god	220
not sure	220
bash rc	220
the open	220
the keyboard	210
really want	210
to it	210
if you're	210
doing it	210
the fact	210
out how	210
how can	210
it has	210
just got	210
to put	210
but don't	210
out and	210
is so	210
like that's	210
like and	210
can be	210
because like	210
been like	210
because of	200
you give	200
because you	200
where you	200
so this	200
it or	200
but if	200
and there's	200
of all	200
before you	200
anything that	200
don't think	200
love you	200
where we	200
me if	200
of our	200
so what	200
other one	200
those are	200
my life	200
but yeah	200
tried to	200
got it	200
just want	200
looking at	200
use the	200
that just	200
have my	200
we're not	190
not even	190
give you	190
you did	190
him to	190
do is	190
whether or	190
the right	190
so if	190
whole thing	190
just have	190
it does	190
how you	190
like not	190
what my	190
think about	190
it will	190
me how	190
my laptop	190
the new	190
to look	190
feels like	190
like she	190
and they	190
that that	190
that if	190
know it's	190
it it	190
cloud code	190
them to	190
you get	190
get to	190
the world	190
to this	180
app and	180
tell you	180
he was	180
to really	180
it the	180
like no	180
and stuff	180
more than	180
it's the	180
in any	180
out the	180
you explain	180
has like	180
use it	180
what happened	180
do have	180
on and	180
like can	180
and tell	180
mean i'm	180
even know	180
much as	180
not going	180
you so	180
did it	180
like on	180
you understand	180
really good	180
wanting to	180
like so	180
like some	180
see it	180
about how	180
doesn't have	180
of you	180
shit like	180
sure if	180
if that's	180
the left	180
up the	180
out what	180
to build	180
better than	180
an agent	180
you got	180
on that	180
thing like	180
wake word	180
my agent	180
jim and	180
to send	180
fact that	170
looking to	170
have any	170
can have	170
went to	170
is my	170
the smart	170
smart bar	170
from my	170
about this	170
do what	170
you can't	170
how much	170
and your	170
of shit	170
it back	170
fucked up	170
of stuff	170
see that	170
me you	170
what that	170
the house	170
that to	170
and make	170
do not	170
because don't	170
that has	170
that means	170
like when	170
like do	170
like well	170
what if	170
it's been	170
i've never	170
me about	170
that because	170
be in	170
was able	170
to find	170
be better	170
try to	170
that so	160
i'm also	160
on this	160
or anything	160
me this	160
the different	160
like your	160
here is	160
the code	160
all this	160
off the	160
giving me	160
because this	160
know because	160
not gonna	160
you had	160
and know	160
my fucking	160
all like	160
of your	160
and as	160
there way	160
really cool	160
if i'm	160
i'm saying	160
and is	160
what want	160
just been	160
and get	160
the difference	160
anything like	160
each other	160
same time	160
in fact	160
talk about	160
think it's	160
where it	160
like he	160
mod row	160
the top	160
that way	160
so how	160
to him	160
about you	160
it into	160
and more	160
has to	160
what it's	160
that could	160
we did	160
access to	160
be doing	160
up for	160
the models	160
my tower	160
off and	160
my open	160
is in	150
know we	150
so now	150
and we're	150
to not	150
go in	150
in our	150
could have	150
would love	150
understand what	150
i'm fucking	150
like little	150
we got	150
when we	150
do some	150
and put	150
but just	150
than that	150
look like	150
i'm on	150
with all	150
know but	150
i'm doing	150
up my	150
no way	150
it i'm	150
one thing	150
was it	150
its own	150
that don't	150
pretty much	150
do anything	150
but in	150
means that	150
was gonna	150
it on	150
is for	150
or some	150
do something	150
work and	150
it needs	150
go back	150
i'm very	150
working on	150
that in	150
the deal	150
said that	150
then also	150
know where	150
like want	150
to install	150
to ask	150
the model	150
everything and	140
to what	140
the factory	140
whatever it	140
ton of	140
this has	140
so really	140
the sort	140
what we're	140
because the	140
everything is	140
when it	140
is one	140
to keep	140
do with	140
it it's	140
supposed to	140
up to	140
and push	140
the number	140
want me	140
like there	140
yeah mean	140
and i've	140
it feels	140
but when	140
at this	140
you're not	140
know about	140
of time	140
time and	140
this like	140
do need	140
can find	140
like there's	140
that shit	140
what kind	140
than the	140
they are	140
like one	140
okay i'm	140
change the	140
like whatever	140
to come	140
up like	140
whatever and	140
mean it's	140
but this	140
can tell	140
gonna get	140
it's going	140
but what	140
key and	140
so for	140
and got	140
also like	140
familiar with	140
they don't	140
you really	140
we just	140
the server	140
us to	140
to call	140
that for	140
models that	140
say that	140
work but	140
be using	140
it's gonna	140
the terminal	140
of ram	140
before we	140
i've done	140
know this	130
the issue	130
agent to	130
want like	130
about what	130
not getting	130
also want	130
and on	130
as the	130
bit of	130
the end	130
does the	130
good job	130
like they	130
want the	130
in some	130
just trying	130
you should	130
up in	130
like i've	130
okay but	130
what you're	130
work in	130
or do	130
it going	130
that there	130
i'm having	130
i'm still	130
also have	130
don't need	130
right like	130
to tell	130
are going	130
but mean	130
not what	130
but that	130
but at	130
how are	130
you but	130
just the	130
left of	130
in mind	130
your own	130
you you	130
they're gonna	130
read it	130
is really	130
but now	130
it could	130
or to	130
need like	130
like like	130
that they	130
me an	130
to read	130
did not	130
doesn't work	130
back up	130
okay this	130
you mean	130
gemini 3.1	130
just do	130
know so	130
we would	130
then he	130
you will	130
doing that	130
fix it	130
i'm interested	130
what what	130
i'm getting	130
how is	130
because want	130
order to	130
the skill	130
doing this	130
into my	130
put the	130
$20 month	130
to try	130
endeavor os	130
as an	120
so want	120
of things	120
mean it	120
navigate to	120
it if	120
no idea	120
samsung galaxy	120
the middle	120
what this	120
well as	120
end of	120
whisper api	120
to your	120
this to	120
the chat	120
you what	120
like super	120
this whole	120
the shit	120
don't like	120
are like	120
prompt to	120
then the	120
not have	120
that mean	120
make the	120
let's go	120
we had	120
all right	120
the various	120
lots of	120
this will	120
even though	120
had like	120
that want	120
has the	120
having to	120
it's all	120
it kind	120
this shit	120
have some	120
could use	120
now like	120
where it's	120
if like	120
like fucking	120
i'm really	120
use that	120
to hear	120
to open	120
me in	120
that she	120
to set	120
it from	120
not be	120
can't do	120
whatever but	120
the day	120
it did	120
for some	120
the problem	120
one to	120
and am	120
me feel	120
care of	120
the ai	120
it again	120
for us	120
was that	120
just be	120
it comes	120
and you're	120
makes it	120
which one	120
all my	120
open up	120
got like	120
and can	120
as it	120
bit more	120
me but	120
saying that	120
it sounds	120
get back	120
planning on	120
like any	120
if have	120
them in	120
it can	120
one for	120
love to	120
mental health	120
in order	120
this because	120
use my	120
do and	120
to fix	120
give it	120
again and	120
too much	110
me prompt	110
have access	110
because that	110
something and	110
copy and	110
be running	110
before and	110
we've been	110
code and	110
is still	110
up so	110
got me	110
get this	110
to turn	110
the whisper	110
when the	110
the case	110
but was	110
whatever the	110
that's going	110
him and	110
that doesn't	110
what does	110
what about	110
because if	110
like our	110
in between	110
there like	110
does this	110
be good	110
was going	110
but that's	110
that do	110
at it	110
thing in	110
that looks	110
last night	110
me with	110
like two	110
can't fucking	110
being like	110
this point	110
back in	110
man i'm	110
about me	110
i'm kind	110
shit that	110
fucking do	110
of us	110
to think	110
am not	110
not only	110
just gonna	110
it also	110
that really	110
